,species,ID,date,SPME_start_time,SPME_stop_time,SPME_total_time,interactor,order,heptan-2-one,heptyl acetate,2-ethyl-1-4-benzoquinone,2-ethyl-1-4-hydroquinone,DLC_file,x1_crop,x2_crop,pixPerMm,timestamp_file
26,pamillia,9,20201124,47,1848,1801,alone,3,1251356,4034,107691,13245,./pamillia_dlc_analysis/20201124_pamillia_spme_3_alone2_cam_1_date_2020_11_24_time_08_06_12_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1260,31.428571,./pamillia_dlc_analysis/20201124_pamillia_spme_3_alone2_cam_1_date_2020_11_24_time_08_06_12_v001_timestamps.csv
27,pamillia,9,20201124,28,1842,1814,5_locc,4,141560040,16475355,3545474,1043698,./pamillia_dlc_analysis/20201124_pamillia_spme_3_5locc_cam_1_date_2020_11_24_time_09_16_11_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,165,1260,31.285714,./pamillia_dlc_analysis/20201124_pamillia_spme_3_5locc_cam_1_date_2020_11_24_time_09_16_11_v001_timestamps.csv
28,pamillia,10,20201125,35,1848,1813,alone,1,89183,25203,41141,19326,./pamillia_dlc_analysis/20201125_pamillia_4_alone1_cam_1_date_2020_11_25_time_05_51_43_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,165,1260,31.285714,./pamillia_dlc_analysis/20201125_pamillia_4_alone1_cam_1_date_2020_11_25_time_05_51_43_v001_timestamps.csv
29,pamillia,10,20201125,83,1905,1822,5_locc_glued,2,31564,50388,59433,71917,./pamillia_dlc_analysis/20201125_pamillia_4_5glued_cam_1_date_2020_11_25_time_06_46_41_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1260,31.428571,./pamillia_dlc_analysis/20201125_pamillia_4_5glued_cam_1_date_2020_11_25_time_06_46_41_v001_timestamps.csv
30,pamillia,10,20201125,27,1842,1815,alone,3,97270,20408,71065,23026,./pamillia_dlc_analysis/20201125_pamillia_4_alone2_cam_1_date_2020_11_25_time_07_54_12_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,160,1255,31.285714,./pamillia_dlc_analysis/20201125_pamillia_4_alone2_cam_1_date_2020_11_25_time_07_54_12_v001_timestamps.csv
31,pamillia,10,20201125,34,1835,1801,5_locc,4,88497,31498,30046,73538,./pamillia_dlc_analysis/20201125_pamillia_4_5locc_cam_1_date_2020_11_25_time_09_19_34_v001DLC_resnet50_pamillia_onlyAug5shuffle1_250000.h5,165,1260,31.285714,./pamillia_dlc_analysis/20201125_pamillia_4_5locc_cam_1_date_2020_11_25_time_09_19_34_v001_timestamps.csv
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
